id,page,section,item,name,description,other,language,created_at,updated_at
1,0,footer,0,morada1,"Edifício Sede <br>Praça da República<br>2904-508 Setúbal - Portugal",NULL,1,"2019-10-16 10:08:17","2019-10-16 10:16:03"
2,0,footer,0,morada2,"Porto de Abrigo de Seimbra<br>2970 Sesimbra - Portugal",NULL,1,"2019-10-16 10:24:39","2019-10-16 10:24:39"
3,0,footer,0,telefone1,"Tel &nbsp;  +351 265 542 000",NULL,1,"2019-10-16 10:25:52","2019-10-16 16:46:25"
4,0,footer,0,fax1,"Fax +351 265 230 992",NULL,1,"2019-10-16 10:26:21","2019-10-16 10:26:21"
5,0,footer,0,telefone2,"Tel &nbsp; +351 265 542 008",NULL,1,"2019-10-16 10:26:51","2019-10-16 16:46:16"
6,0,footer,0,fax2,"Fax +351 212 233 566",NULL,1,"2019-10-16 10:27:10","2019-10-16 16:45:58"
7,0,footer,0,email1,geral@portodesetubal.pt,NULL,1,"2019-10-16 10:27:35","2019-10-16 10:27:35"
8,0,footer,0,email2,geral@portodesesimbra.pt,NULL,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
9,0,footer_thumbs,0,img1,images/structural/other/museu-virtual.png,#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
10,0,footer_thumbs,0,img2,images/structural/other/nivel-de-protecao.png,#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
11,0,footer_thumbs,0,img3,images/structural/other/pegada-carbono.png,#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
12,0,footer_linksuteis,1,link,"Nível de Protecção do Porto de Setúbal",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
13,0,footer_linksuteis,2,link,"Museu Virtual do Porto de Setúbal",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
14,0,footer_linksuteis,3,link,"Exoneração de Responsabilidade",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
15,0,footer_linksuteis,4,link,"Política de Privacidade",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
16,0,footer_linksuteis,5,link,"Política de Cookies",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
17,0,footer_linksuteis,6,link,"Termos e Condições",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
18,0,footer_linksuteis,7,link,"Informação ao Consumidor",#,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
23,0,footer_newsletter,0,text,Newsletter,NULL,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
20,0,footer_newsletter,0,text,"Recipient's username",NULL,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
21,0,footer_newsletter,0,text,"Não perca as nossas novidades!",NULL,1,"2019-10-16 10:29:28","2019-10-16 10:29:28"
